,items,sentiment_score_definition,relevance_score_definition,feed
0,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Disney Slashes Disney+ Price To $2 As Battle With Charter Rages On - Walt Disney  ( NYSE:DIS ) ', 'url': 'https://www.benzinga.com/general/entertainment/23/09/34290011/disney-slashes-disney-price-to-2-as-battle-with-charter-rages-on', 'time_published': '20230906T202103', 'authors': ['Chris Katje'], 'summary': 'Media giant The Walt Disney Company DIS launched the streaming platform Disney+ in 2019, adding to its direct-to-consumer business initiatives. The company has gone on to raise the prices of its plan and also offer an ad-supported version.', 'banner_image': 'https://cdn.benzinga.com/files/images/story/2023/09/06/disney_shutter4.jpg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.096571, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'CHTR', 'relevance_score': '0.188928', 'ticker_sentiment_score': '-0.159992', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'DIS', 'relevance_score': '0.28008', 'ticker_sentiment_score': '0.187516', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
1,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Bright Future for Warner Bros. Discovery, Thanks To Content Slate and Debt Reduction Plans: Analyst - Warner Bros. Discovery  ( NASDAQ:WBD ) ', 'url': 'https://www.benzinga.com/news/23/09/34280499/bright-future-for-warner-bros-discovery-thanks-to-content-slate-and-debt-reduction-plans-analyst', 'time_published': '20230906T171622', 'authors': ['Anusuya Lahiri'], 'summary': 'Macquarie analyst Tim Nollen maintained an Outperform rating on Warner Bros. Discovery, Inc WBD with a $20 price target. WBD announced reducing its guidance for FY23 adjusted EBITDA from the low end of $11 billion - $11.5 billion to a range of $10.5 billion - $11 billion due to the ongoing ...', 'banner_image': 'https://cdn.benzinga.com/files/images/story/2023/09/06/wbd.png?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'News', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.009767, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'CHTR', 'relevance_score': '0.194242', 'ticker_sentiment_score': '-0.278502', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MCQEF', 'relevance_score': '0.097854', 'ticker_sentiment_score': '0.15143', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.194242', 'ticker_sentiment_score': '-0.278502', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
2,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Comcast and Disney Agree to Speed Up Hulu Deal', 'url': 'https://www.nytimes.com/2023/09/06/business/media/comcast-disney-hulu-deal.html', 'time_published': '20230906T170320', 'authors': ['Benjamin Mullin'], 'summary': 'Disney is poised to own the entirety of the Hulu streaming service, which has more than 48 million total subscribers.', 'banner_image': 'https://static01.nyt.com/images/2023/09/06/business/HULU0906/HULU0906-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'source': 'New York Times', 'category_within_source': 'Business', 'source_domain': 'www.nytimes.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.165937, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'CCZ', 'relevance_score': '0.499102', 'ticker_sentiment_score': '0.211495', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.076602', 'ticker_sentiment_score': '0.05254', 'ticker_sentiment_label': 'Neutral'}]}"
3,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'REVOL GREENS ENGAGES FRANK YIANNAS, FOOD SAFETY EXPERT TO ADVISE ON FOOD SAFETY PRACTICES', 'url': 'https://markets.businessinsider.com/news/stocks/revol-greens-engages-frank-yiannas-food-safety-expert-to-advise-on-food-safety-practices-1032610136', 'time_published': '20230906T160500', 'authors': ['markets.businessinsider.com'], 'summary': 'AUSTIN, Texas, Sept. 6, 2023 /PRNewswire/ -- , a prominent leader in sustainable greenhouse grown leafy greens production, is excited to announce the appointment of Frank Yiannas as an advisor for food safety. Frank Yiannas, former Deputy Commissioner for Food Policy and Response at the U.S.', 'banner_image': 'https://mma.prnewswire.com/media/2203199/Dinesh_Babu_Headshot.jpg', 'source': 'Business Insider', 'category_within_source': 'RSS', 'source_domain': 'markets.businessinsider.com', 'topics': [{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.517641, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'DIS', 'relevance_score': '0.107736', 'ticker_sentiment_score': '0.291151', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.107736', 'ticker_sentiment_score': '0.291151', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
4,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Disney asks court to narrow federal lawsuit against DeSantis', 'url': 'https://www.foxbusiness.com/politics/disney-asks-court-narrow-federal-lawsuit-against-desantis', 'time_published': '20230906T140532', 'authors': ['Chris Pandolfo'], 'summary': ""Disney's attorneys asked a federal court on Friday to narrow the scope of the company's free speech lawsuit against Florida Gov. Ron DeSantis and other officials."", 'banner_image': 'https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/8bfb0477-81a8-499a-902e-9cddf9fb04e4/2d4aa5f1-c3c5-406a-8291-ed858271dd6f/1280x720/match/image.jpg', 'source': 'Fox Business News', 'category_within_source': 'n/a', 'source_domain': 'www.foxbusiness.com', 'topics': [], 'overall_sentiment_score': 0.0, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'DIS', 'relevance_score': '0.063091', 'ticker_sentiment_score': '-0.006036', 'ticker_sentiment_label': 'Neutral'}]}"
5,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Disney's battle with Charter could pose an existential threat to the cable bundle | Business"", 'url': 'https://www.cnn.com/2023/09/05/media/disney-charter-reliable-sources/index.html', 'time_published': '20230906T022800', 'authors': ['Oliver Darcy'], 'summary': ""Disney's battle with Charter could pose an existential threat to the cable bundle ..."", 'banner_image': 'https://media.cnn.com/api/v1/images/stellar/prod/230905192126-disney-logo-file.jpg?c=16x9&q=w_800,c_fill', 'source': 'CNN', 'category_within_source': 'Markets', 'source_domain': 'www.cnn.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.098676, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'PARA', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.134119', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WBD', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.170197', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CCZ', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.134119', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CHTR', 'relevance_score': '0.051221', 'ticker_sentiment_score': '-0.035999', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FUBO', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.025771', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOX', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.134119', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.051221', 'ticker_sentiment_score': '0.163423', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
6,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Charter Offers $15 Credit Amid Ongoing Disney Dispute, Reports Say', 'url': 'https://www.kiplinger.com/personal-finance/spending/charter-offers-dollar15-credit-amid-ongoing-disney-dispute-reports-say', 'time_published': '20230905T233434', 'authors': ['Joey Solitro'], 'summary': ""Disney-Charter Dispute May Yield Viewers $15 Credit Kiplinger's Personal Finance ..."", 'banner_image': 'https://cdn.mos.cms.futurecdn.net/3nTXkwmVTxGe66kyhT2xZY-415-80.jpg', 'source': 'Kiplinger', 'category_within_source': 'n/a', 'source_domain': 'www.kiplinger.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.139093, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'CHTR', 'relevance_score': '0.163354', 'ticker_sentiment_score': '-0.070303', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.082111', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.082111', 'ticker_sentiment_score': '-0.034146', 'ticker_sentiment_label': 'Neutral'}]}"
7,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Disney, Spectrum direct customers to other TV services as dispute keeping ESPN off air continues', 'url': 'https://apnews.com/article/espn-disney-spectrum-cable-dispute-aa16cf8eb9447b2956fb31f8a279f86d', 'time_published': '20230905T201700', 'authors': ['DAVID BAUDER'], 'summary': 'NEW YORK ( AP ) - Both sides of a dispute that has left nearly 15 million cable TV subscribers without ESPN or other networks affiliated with The Walt Disney Co. are directing customers to other services where they can watch television.', 'banner_image': 'https://dims.apnews.com/dims4/default/c129b49/2147483647/strip/true/crop/893x595+1053+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F3e%2F95%2Fa8c2b42f663bcc785c2c4fe554fa%2F32712e3e2b8d48a8a0291caf6766a66f', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.083612, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'CHTR', 'relevance_score': '0.092569', 'ticker_sentiment_score': '-0.20733', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'DIS', 'relevance_score': '0.092569', 'ticker_sentiment_score': '-0.072884', 'ticker_sentiment_label': 'Neutral'}]}"
8,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Disney Treasure to Unlock New Disney Stories from ""Coco,"" ""Zootopia,"" Theme Parks and More on the High Seas', 'url': 'https://www.benzinga.com/pressreleases/23/09/n34241735/disney-treasure-to-unlock-new-disney-stories-from-coco-zootopia-theme-parks-and-more-on-the-high-s', 'time_published': '20230905T154300', 'authors': ['PRNewswire'], 'summary': ""Adventure awaits onboard Disney Cruise Line's newest ship, setting sail December 2024"", 'banner_image': 'https://www.benzinga.com/next-assets/images/schema-image-default.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [], 'overall_sentiment_score': 0.440457, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'DIS', 'relevance_score': '0.047607', 'ticker_sentiment_score': '0.187903', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
9,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""US Open champion can't watch tennis because of Disney's dispute with his hotel's cable company | Business"", 'url': 'https://www.cnn.com/2023/09/05/business/us-open-daniil-medvedev-spectrum-blackout/index.html', 'time_published': '20230905T132104', 'authors': ['Jordan Valinsky'], 'summary': ""US Open champion can't watch tennis because of Disney's dispute with his hotel's cable company ..."", 'banner_image': 'https://media.cnn.com/api/v1/images/stellar/prod/230901081327-disney-spectrum-cable-carriage-deal.jpg?c=16x9&q=h_144,w_256,c_fill', 'source': 'CNN', 'category_within_source': 'Markets', 'source_domain': 'www.cnn.com', 'topics': [], 'overall_sentiment_score': -0.062597, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'DIS', 'relevance_score': '0.092213', 'ticker_sentiment_score': '-0.130736', 'ticker_sentiment_label': 'Neutral'}]}"
